,Result,Duration,Champion,Type,Kills,Deaths,Assists,KDA Ratio,Multikill,Level,CS,CS per min,Kill Participation,Wards
0,Defeat,26,Xerath,AP,2,10,7,0.9,0,11,40,1.5,45,7
1,Defeat,22,Lee Sin,AD,6,5,4,2.0,0,12,106,4.6,59,7
2,Victory,32,Lee Sin,AD,12,4,15,6.75,2,17,178,5.5,68,12
3,Victory,33,Karthus,AP,6,9,19,2.7777777777777777,0,17,225,6.7,78,7
4,Defeat,22,Leona,AP,0,2,6,3.0,0,11,49,2.1,50,9
5,Victory,15,Nautilus,AP,3,4,7,2.5,0,8,27,1.8,53,3
6,Defeat,19,Nautilus,AP,0,5,6,1.2,0,9,43,2.2,86,6
7,Defeat,41,Morgana,AP,1,9,22,2.5555555555555554,0,14,28,0.7,74,19
8,Victory,15,Karthus,AP,10,1,3,13.0,2,13,159,10.1,57,2
9,Victory,15,Lucian,AD,4,1,6,10.0,2,10,113,7.3,53,3
10,Defeat,25,Kalista,AD,7,3,3,3.3333333333333335,2,13,235,9.1,63,0
11,Defeat,30,Ezreal,AD,9,7,1,1.4285714285714286,2,15,261,8.6,45,3
12,Victory,28,Kai'Sa,AD,14,6,11,4.166666666666667,4,15,195,7.0,53,3
13,Victory,28,Miss Fortune,AD,9,4,16,6.25,0,16,228,7.9,60,1
14,Defeat,27,Xayah,AD,8,3,5,4.333333333333333,0,15,286,10.5,93,4
15,Defeat,44,Caitlyn,AD,12,7,12,3.4285714285714284,2,18,406,9.2,67,1
16,Victory,16,Xayah,AD,4,2,5,4.5,0,11,174,10.4,45,4
17,Victory,33,Caitlyn,AD,9,2,7,8.0,2,18,379,11.3,44,2
18,Victory,30,Xayah,AD,13,3,9,7.333333333333333,2,17,303,9.9,71,2
19,Victory,27,Ezreal,AD,17,4,5,5.5,2,15,237,8.7,76,4
20,Defeat,20,Vladimir,AP,1,7,2,0.42857142857142855,0,11,123,5.9,23,2
21,Victory,31,Miss Fortune,AD,10,3,14,8.0,4,16,276,8.7,77,2
22,Defeat,35,Ezreal,AD,6,4,4,2.5,0,17,330,9.2,59,3
23,Victory,25,Kai'Sa,AD,8,2,4,6.0,0,14,213,8.5,39,0
24,Defeat,25,Ezreal,AD,2,4,5,1.75,0,14,173,6.9,47,2
25,Victory,15,Jhin,AD,5,1,5,10.0,0,10,110,7.2,42,1
26,Victory,31,Ezreal,AD,8,4,14,5.5,2,17,282,9.1,56,1
